,id,headlines,ChanceOfVirality
2130,2130,Uncertainty for hospitality businesses across US ahead of reopenings,0
2131,2131,Amid coronavirus pandemic uncertainty for hospitality leaders ahead of re-openings,2
2132,2132,Fundraiser helps feed health care workers by ordering food from local restaurants to help businesses stay open,0
2133,2133,Steve Hilton: What do we have to do to get our leaders to follow the coronavirus data and science and end the shutdown?,3
2134,2134,Michael Goodwin: Coronavirus nursing home policy — this Cuomo approach proves tragic,3
2135,2135,Robert Garrett: Coronavirus – 6 lessons from a New Jersey hospital system on the front lines,4
2136,2136,Sally Pipes: Coronavirus fight – Would 'Medicare-for-all' have improved US response to COVID-19?,3
2137,2137,"T.J. Rodgers: Do lockdowns save many lives? In most places, data say no",2
2138,2138,Liz Peek: Biden assault allegations turn race on its head – here's why,1
2139,2139,David Limbaugh: Coronavirus uncertainty – all these things we still don't know warrant humility,6
2140,2140,"Peter Rosenberger: Coronavirus — As a caregiver for 30 years, I know healing power of this one thing",8
2141,2141,"Paul Batura: Amid coronavirus crisis, look for these messages of hope and inspiration",3
2142,2142,Dr. Nicole Saphier: Coronavirus anxiety – here are ways to relieve stress and stay healthier,5
2143,2143,"Nick Hall: As coronavirus spreads suffering and death, many people ask: Where are you, God?",5
2144,2144,"Christen Limbaugh Bloom: God using coronavirus crisis to touch hearts of individuals, create revival in church",3
2145,2145,Newt Gingrich: We can return to a pre-coronavirus economy – Here’s how,4
2146,2146,Dr. Manny Alvarez: COVID-19 isn’t only medical problem needing treatment – Restore other health services,3
2147,2147,"Andrew McCarthy: On coronavirus restrictions, burden of proof is on government to show justification",2
2148,2148,"Brandon Judd: As coronavirus sends unemployment skyrocketing, Trump’s immigration restrictions clearly needed",3
2149,2149,Leslie Marshall: Coronavirus restrictions save lives – Protesters blocking hospital entrances endanger lives,2
2150,2150,Joshua Rogers: Coronavirus lockdown – I let my wife cut my hair and it taught me this about my marriage,4
2151,2151,Tucker Carlson: Coronavirus crisis -- Only science will free us from this pandemic,2
2152,2152,Larry Elder: Belief that coronavirus came from a Chinese lab gains increasing credence,2
2153,2153,"Robert Hutchinson: Coronavirus gives online education a big boost, shows high-priced colleges are a scam",2
2154,2154,Adriana Cohen: Coronavirus gives ‘Squad’ excuse to seek disastrous end to rent and mortgage payments,3
2155,2155,Rep. Ron Estes: Coronavirus pandemic doesn’t justify additional federal aid to bail out states,3
2156,2156,Newt Gingrich: Coronavirus shouldn’t keep America closed for months – Let’s reopen based on local conditions,3
2157,2157,"Tammy Bruce: Hypocritical Dems ignore Biden sexual assault allegations, but embraced Kavanaugh accuser",0
2158,2158,Sen. Joni Ernst: Coronavirus -- Our essential workers are our heroes. It's time we pay them back,3
2159,2159,Dr. William Haseltine: Coronavirus -- Reopening America will require this key thing that's been ignored,3
2160,2160,"Sen. Cotton, Rep. Crenshaw: Coronavirus has destroyed countless lives – Here's how to make China pay",6
2161,2161,Curtis Hill: Coronavirus and inmates — ACLU's bad idea ignores these realities about crime,3
2162,2162,Mission to collect iPads for hospital patients in isolation goes national,0
2163,2163,Dying alone from coronavirus: Group collects used iPads to virtually connect patients with family,3
2164,2164,Here's what food banks need the most right now amid record demand during coronavirus,8
2165,2165,America Together: Cape Cod community delivers plants to homebound seniors during coronavirus,2
2166,2166,Andy Puzder: Latest round of PPP coronavirus relief shows hardworking Americans not forgotten,2
2167,2167,Sen. Joni Ernst: Coronavirus -- Our essential workers are our heroes. It's time we pay them back,3
2168,2168,Dr. William Haseltine: Coronavirus -- Reopening America will require this key thing that's been ignored,3
2169,2169,Jimmy Failla: Coronavirus and the NFL Draft -- The surprising things we learned on Thursday night,5
2170,2170,Daniel Hoffman: Iraq on the brink — Here's why it matters to Americans,3
2171,2171,"Andrew McCarthy: On coronavirus restrictions, burden of proof is on government to show justification",2
2172,2172,Larry Elder: Belief that coronavirus came from a Chinese lab gains increasing credence,2
2173,2173,Newt Gingrich: Coronavirus shouldn’t keep America closed for months – Let’s reopen based on local conditions,3
2174,2174,Rep. Ron Estes: Coronavirus pandemic doesn’t justify additional federal aid to bail out states,3
2175,2175,Andy Puzder: Latest round of PPP coronavirus relief shows hardworking Americans not forgotten,2
2176,2176,Trending Opinion,0
2177,2177,Steve Hilton: End the shutdown and save lives now,2
2178,2178,Gutfeld: It's up to you and me to get us out of the COVID-19 mess,3
2179,2179,Judge Jeanine: Congress shelters in place,0
2180,2180,Watters' Words: A New York state of mind,2
2181,2181,Ingraham: Civil liberties at risk in COVID-19 era	,1
2182,2182,"Pelosi endorses Joe Biden for president, amid development in sexual assault claim",0
2183,2183,Speculation mounts over Flynn case as new DOJ documents turned over,1
2184,2184,Whitmer blasts McConnell for ‘outrageous’ state bankruptcy comment,1
2185,2185,"Timeline shows media, Dems' different approach to Tara Reade accusation after Kavanaugh free-for-all",2
2186,2186,New Yorkers trust Cuomo over Trump on coronavirus crisis: poll,3
2187,2187,McEnany: Americans are strong and will get back on their feet,1
2188,2188,Sen. Cotton asks how Dems who believed claims against Kavanaugh could 'possibly agree' to be Biden running mate,1
2189,2189,Democrats ramp up demand for 'phase 4' of COVID-19 relief,2
2190,2190,Gov. Noem says South Dakota needs flexibility from Congress on how funding can be spent,2
2191,2191,"John Krasinski hosts potluck with Martha Stewart, Stanley Tucci on 'Some Good News'",2
2192,2192,Uncertainty for hospitality businesses across US ahead of reopenings,0
2193,2193,Amid coronavirus pandemic uncertainty for hospitality leaders ahead of re-openings,2
2194,2194,Fundraiser helps feed health care workers by ordering food from local restaurants to help businesses stay open,0
2195,2195,Fox News Poll: Biden and Trump in tight race in Florida,1
2196,2196,"Fox News Poll: Biden tops Trump in Michigan, where Gov. Whitmer is more popular than president",3
2197,2197,Fox News Poll: Biden leads Trump in battleground Pennsylvania,1
2198,2198,Fox News Poll: Biden and Trump now tied in race for White House,2
2199,2199,States take different paths on how and when to reopen during COVID-19,1
2200,2200,Georgia restaurants resume dine-in services with safety restrictions,0
2201,2201,Speculation mounts over Flynn case as new DOJ documents turned over,1
2202,2202,Andy McCarthy: Burden of proof on the government to show justification for coronavirus restrictions,3
2203,2203,Schumer proposing measure to block Trump's name from future coronavirus relief checks,2
2204,2204,"Tampa mayor on sending apology letter to Tom Brady, city's efforts to reopen amid COVID-19",1
2205,2205,"Jeff Sessions says campaigning amid social distancing restrictions is ‘strange,’ China ‘anger’ resonating",1
2206,2206,What's Trending: AOC criticized for voting against latest COVID-19 stimulus bill; NY couple sues China,1
2207,2207,Newt Gingrich on how America can return to a pre-coronavirus economy,3
2208,2208,Sunday shows stay silent on Biden accuser's sexual assault allegations,1
2209,2209,Maria Bartiromo: Gen. Flynn to be completely exonerated this week,2
2210,2210,"Peter Navarro on getting Americans back to work, holding China accountable for COVID-19",2
2211,2211,Bongino: 'Serial liar' Pelosi has passed Schiff as biggest fraud in Congress,0
2212,2212,"Pelosi endorses Joe Biden for president, amid development in sexual assault claim",0
2213,2213,Former Sanders staffer says senator should 'stop playing games' with 2020 campaign,0
2214,2214,Mission to collect iPads for hospital patients in isolation goes national,0
2215,2215,Dying alone from coronavirus: Group collects used iPads to virtually connect patients with family,3
2216,2216,Here's what food banks need the most right now amid record demand during coronavirus,8
2217,2217,America Together: Cape Cod community delivers plants to homebound seniors during coronavirus,2
2218,2218,CDC chief contradicts Trump on misquoting charge over virus rebound,1
2219,2219,"Virus vertigo spins the news, pushing out almost everything else",4
2220,2220,"Trump, facing sinking polls on pandemic, targets legal immigrants",0
2221,2221,New Yorkers trust Cuomo over Trump on coronavirus crisis: poll,3
2222,2222,Sen. Cotton asks how Dems who believed claims against Kavanaugh could 'possibly agree' to be Biden running mate,1
2223,2223,"Biden accuser Tara Reade calls out media, potential Dem VP picks for their 'silence' on her accusations",2
2224,2224,"Pelosi endorses Joe Biden for president, amid development in sexual assault claim",0
2225,2225,Man arrested in drive-by shooting at 'Duck Dynasty' star's home,1
2226,2226,Cameron Diaz teases possible return to acting,0
2227,2227,'Price is Right' announcer George Gray in stable condition after suffering 3 consecutive heart attacks,2
2228,2228,"John Krasinski hosts potluck with Martha Stewart, Stanley Tucci on 'Some Good News'",2
2229,2229,Adam Schlesinger's girlfriend shares heartbreaking story of her final days with the Fountains of Wayne artist,4
2230,2230,Man arrested in drive-by shooting at 'Duck Dynasty' star's home as family says they are 'pretty shook up',1
2231,2231,Elizabeth Hurley celebrates mother’s 80th birthday during lockdown,2
2232,2232,Bryan Cranston questions sanity of 'deeply troubled' Donald Trump and his supporters,0
2233,2233,Season finales for 'Prodigal Son' and 'Last Man Standing',1
2234,2234,'Price is Right' announcer George Gray in stable condition after suffering 3 consecutive heart attacks,2
2235,2235,Fox News Flash top entertainment headlines for April 27,1
2236,2236,The 5 best romantic comedies on Netflix right now,4
2237,2237,"'Duck Dynasty' star Willie Robertson's estate targeted with gunfire, family says",0
2238,2238,"'Defending Jacob' showrunner and director talk working with Chris Evans, challenging aspect of adapting a book",0
2239,2239,‘Charlie’s Angels’ star Cheryl Ladd recalls working with ‘terrific’ Farrah Fawcett: ‘That was rewarding’,0
2240,2240,Detective recalls meeting ‘Truck Stop Killer’ Bruce Mendenhall in ‘Deadly Recall’: ‘There’s evil out there’,2
2241,2241,Camille Kostek on how she's giving back amid coronavirus pandemic: 'I don't believe in feeding into fear',2
2242,2242,"John Krasinski hosts potluck with Martha Stewart, Stanley Tucci on 'Some Good News'",2
2243,2243,Uncertainty for hospitality businesses across US ahead of reopenings,0
2244,2244,Amid coronavirus pandemic uncertainty for hospitality leaders ahead of re-openings,2
2245,2245,Fundraiser helps feed health care workers by ordering food from local restaurants to help businesses stay open,0
2246,2246,Cameron Diaz teases possible return to acting,0
2247,2247,Rapper DMX hosts Bible study on Instagram Live during coronavirus pandemic,2
2248,2248,"Adam Sandler, Pete Davidson team for quarantine song during remote 'SNL' special",0
2249,2249,Kristen Bell records Dax Shepard performing surgery on himself during coronavirus pandemic,2
2250,2250,"Actor Glen Powell mourns police officer killed in shooting, a childhood friend",0
2251,2251,"Kristin Cavallari, Jay Cutler announce divorce after 10 years together",2
2252,2252,Brad Pitt appears as Dr. Anthony Fauci in second at-home 'SNL' episode,0
2253,2253,South by Southwest teams with Amazon to present virtual film festival,1
2254,2254,Demi Lovato opens up about her 'biggest inspiration' during rehab: 'I'm so much happier now',2
2255,2255,Tom Hanks jokes about the name he would give coronavirus vaccine,3
2256,2256,Mission to collect iPads for hospital patients in isolation goes national,0
2257,2257,Dying alone from coronavirus: Group collects used iPads to virtually connect patients with family,3
2258,2258,Here's what food banks need the most right now amid record demand during coronavirus,8
2259,2259,America Together: Cape Cod community delivers plants to homebound seniors during coronavirus,2
2260,2260,Mister Rogers told co-star Officer Clemmons to not come out as gay and to marry a woman,3
2261,2261,"Salma Hayek reflects on adult life, says she used to criticize herself 'so much'",1
2262,2262,‘Bewitched’ star Erin Murphy reveals how quarantine has kept her busy at home,0
2263,2263,‘Charlie’s Angels’ star Cheryl Ladd recalls working with ‘terrific’ Farrah Fawcett: ‘That was rewarding’,0
2264,2264,Adam Schlesinger's girlfriend shares heartbreaking story of her final days with the Fountains of Wayne artist,4
2265,2265,"Actor Glen Powell mourns police officer killed in shooting, a childhood friend",0
2266,2266,"Harold Reid, country singer for Statler Brothers, dead at 80",1
2267,2267,'Chernobyl Diaries' actor Dimitri Diatchenko dead at 52,0
2268,2268,Emrata's BEST shots,1
2269,2269,Kylie's beach vacation,0
2270,2270,Child star dead at 21,0
2271,2271,Elizabeth Hurley doesn't age,0
2272,2272,Meghan calls out the QUEEN,1
2273,2273,Inside Jeff Bezos' INSANE NYC condo,0
2274,2274,How Elvis bombed at Opry,0
2275,2275,Trending in Entertainment,0
2276,2276,Groundbreaking musical drama 'Empire' comes to an end; 'The Masked Singer' post-show 'After the Mask' premieres,0
2277,2277,Global Citizen concert criticized for helping raise money for WHO,1
2278,2278,'One Day at a Time' star Justina Machado recalls auditioning for Norman Lear: 'I was terrified',4
2279,2279,Country star Chase Rice on releasing new album during ‘tough’ times,2
2280,2280,New Netflix biopic 'Sergio' shines the light on a popular UN diplomat,1
2281,2281,FOX's drama 'Prodigal Son' set to reveal secrets in season one's penultimate episode,1
2282,2282,How small biz owners can get relief as government resumes rescue program,0
2283,2283,Markets,0
2284,2284,Opinion,0
2285,2285,What to Watch,1
2286,2286,Money,1
2287,2287,Markets,0
2288,2288,Lifestyle,1
2289,2289,Real Estate,0
2290,2290,Best of Business,1
2291,2291,Tech,0
2292,2292,Sports,0
2293,2293,Small Business,0
2294,2294,Personal Finance,0
2295,2295,Luxury Properties,0
2296,2296,Rich & Famous,0
2297,2297,Gadgets,0
2298,2298,Future Tech,0
2299,2299,College,0
2300,2300,Personal Real Estate,0
2301,2301,Retirement,0
2302,2302,Money and Policy,1
2303,2303,Business Leaders,0
2304,2304,Travel,0
2305,2305,Food & Drinks,0
2306,2306,NFL,0
2307,2307,US Markets,0
2308,2308,AI,0
2309,2309,2020,0
2310,2310,Oil,1
2311,2311,Arts,0
2312,2312,"
                  Special Report
                  ",0
2313,2313,"
                  The Story with Martha MacCallum
                  ",0
2314,2314,"
                  Tucker Carlson Tonight
                  ",0
2315,2315,"
                  Hannity
                  ",0
2316,2316,"
                  The Ingraham Angle
                  ",0
2317,2317,"
                  Fox News @ Night
                  ",1
2318,2318,"
                  Fox & Friends First
                  ",1
2319,2319,"
                  Fox & Friends
                  ",0
2320,2320,"
                  America's Newsroom
                  ",1
2321,2321,"
                  Outnumbered
                  ",1
2322,2322,"
                  Outnumbered Overtime with Harris Faulkner
                  ",2
2323,2323,"
                  The Daily Briefing with Dana Perino
                  ",0
2324,2324,"
                  Bill Hemmer Reports
                  ",0
2325,2325,"
                  Your World
                  ",1
2326,2326,"
                  The Five
                  ",0
2327,2327,"
                  Cavuto Live
                  ",0
2328,2328,"
                  America's News HQ
                  ",1
2329,2329,"
                  The Journal Editorial Report
                  ",0
2330,2330,"
                  Fox Report Weekend
                  ",0
2331,2331,"
                  Watters' World
                  ",1
2332,2332,"
                  Justice with Judge Jeanine
                  ",0
2333,2333,"
                  The Greg Gutfeld Show
                  ",0
2334,2334,"
                  Sunday Morning Futures
                  ",1
2335,2335,"
                  Media Buzz
                  ",1
2336,2336,"
                  Fox News Sunday
                  ",2
2337,2337,"
                  Legends & Lies: The Civil War
                  ",0
2338,2338,"
                  The Next Revolution with Steve Hilton
                  ",0
2339,2339,"
                  Life, Liberty & Levin
                  ",1
2340,2340,"
                  Scandalous
                  ",0
2341,2341,"
                  The Property Man
                  ",1
2342,2342,"
                  Fox Files
                  ",0
2343,2343,"
                  Geraldo Rivera Reports
                  ",0
2344,2344,"
                  War Stories
                  ",0
2345,2345,"Lawyer for Carole Baskin's missing husband says he was strangled, thrown from plane",0
2346,2346,"Lawyer for Carole Baskin's missing husband says he was strangled, thrown from plane",0
2347,2347,Paula Deen shares a prayer for the nation amid coronavirus pandemic,2
2348,2348,Sheriff denies police cover-up in case of 'Tiger King' star's missing husband,0
2349,2349,Juror in 'Tiger King' trial speaks out,1
2350,2350,Fox Nation's Lara Logan takes viewer questions on media bias,1
2351,2351,Tomi Lahren slams Harvard for accepting coronavirus relief funds,2
2352,2352,"""Scandalous: The Clintons"" chronicles the drama leading to first impeachment of a U.S. president in 130 years",3
2353,2353,Fox Nation: How To Impeach A President: Behind the scenes with the Independent Counsel,1
2354,2354,Preview 'Prayers of a Liberal President' available now,1
2355,2355,Preview Jared Cohen available now,1
2356,2356,Preview Jared Cohen,0
2357,2357,James Comey compared to infamous J Edgar Hoover after FISA report hearing,0
2358,2358,Obama's Attorney General nowhere to be found in Horowitz FISA report raising new questions,5
2359,2359,Leader of Hong Kong protest movement: Why mass protests against China turned violent,0
2360,2360,"Expert panel debates military justice system reform, as Navy targets SEAL championed by Trump",1
2361,2361,How timing of impeachment may seriously hurt leading some 2020 Democrats and help others,0
2362,2362,If a Democrat wins the 2020 election they’ll go after everything that you’ve got left: Stuart Varney,2
2363,2363,Varney's message to Dems: Printing more money is not the answer,2
2364,2364,Varney warning to the Federal Reserve 'Politics is not your job -- knock it off',1
2365,2365,"Stuart Varney on President Trump at the G-7: He ""dominated""",1
2366,2366,Varney's message to 'business royalty': Stop kissing up to 2020 Dems,0
2367,2367,Parkland dad 'not done' with Broward County: 'They did this to my daughter',1
2368,2368,"Tomi Lahren speaks to former Army Ranger, co-founder of Black Rifle Coffee Company",1
2369,2369,"Tomi Lahren sits down with Eddie Gallagher wife: 'They raided our house, threw my kids out on the street in their underwear'",4
2370,2370,The LGTBQ community and the NRA,0
2371,2371,"Tomi Lahren sits down with former NFL star Arian Foster, asks why he knelt for national anthem",1
2372,2372,'Tiger King' employee speaks out: 'Monster is a relative term. And Joe fits the bill',1
2373,2373,"'Tiger King': Lawyer for Carole Baskin's missing husband says he was strangled, thrown from plane",0
2374,2374,Celebrity chef Paula Deen shares a prayer for nation amid coronavirus pandemic,2
2375,2375,Country star performing live concert on Fox Nation,0
2376,2376,Sheriff denies police cover-up of 'Tiger King' star's missing husband,0
2377,2377,NFL quarterback sends message of hope during coronavirus pandemic,2
2378,2378,'Tiger King' trial juror on Netflix series: 'It did a huge injustice to the jury',1
2379,2379,Tammy Bruce blasts mayor for creating hotline to 'snitch' on neighbors amid lockdown,1
2380,2380,Veteran correspondent: Journalists who 'attack' President Trump know they'll be safe from critics,2
2381,2381,Tomi Lahren slams wealthy Ivy League schools for accepting coronavirus relief funds,2
2382,2382,Abby Hornacek,0
2383,2383,Tyrus,0
2384,2384,Tomi Lahren,0
2385,2385,Britt McHenry,0
2386,2386,Why Trump impeachment effort is nothing like Nixon saga: New docuseries,2
2387,2387,What really happened to Richard Jewell? Clint Eastwood movie under fire,2
2388,2388,Behind the Scenes of PARK'd,0
2389,2389,Judge Napolitano: With impeachment inquiry brace for repeat of tumultuous time,1
2390,2390,Ainsley Earhardt did this after Howard Stern mocked her faith on air,0
2391,2391,Political scientist makes surprising claim: Trump impeachment would guarantee his re-election in 2020,2
2392,2392,"
Saint Patrick's Cathedral Mass: Monday, April 27",1
2393,2393,"New study finds 'quarantine fatigue' setting in, people are leaving home",2
2394,2394,Varney: This is the week money flows from Treasury,4
2395,2395,Meet Kim Jong Un's possible successor in North Korea,0
2396,2396,Andy McCarthy: 'Burden of proof' on gov't to justify for COVID restrictions,1
2397,2397,Newt Gingrich: We can return to a pre-coronavirus economy - here's how,4
2398,2398,Bongino sounds off on COVID prisoner release:'Threads of republic being pulled at',3
2399,2399,"Secretary Mnuchin on expectations for restarting US economy, new relief for small businesses",1
2400,2400,Could closure of meat-packing plants due to COVID-19 outbreaks plunge food supply chains into crisis?,2
2401,2401,"Biden accuser blasts potential Dem running mates, media for ignoring sex assault accusation",1
2402,2402,Why newly revealed documents are fueling speculation Flynn could walk,1
2403,2403,"LIZ PEEK: Assault allegations turn race on its head, here’s why",1
2404,2404,Tyson Foods boss has grim warning about food supply chain,1
2405,2405,Man arrested in drive-by shooting at 'Duck Dynasty' star's home,1
2406,2406,"Saint Patrick's Cathedral Mass: Monday, April 27",1
2407,2407,"New study finds 'quarantine fatigue' setting in, people are leaving home",2
2408,2408,Varney: This is the week money flows from Treasury,4
2409,2409,Meet Kim Jong Un's possible successor in North Korea,0
2410,2410,Andy McCarthy: 'Burden of proof' on gov't to justify for COVID restrictions,1
2411,2411,Newt Gingrich: We can return to a pre-coronavirus economy - here's how,4
2412,2412,Bongino sounds off on COVID prisoner release:'Threads of republic being pulled at',3
2413,2413,"Secretary Mnuchin on expectations for restarting US economy, new relief for small businesses",1
2414,2414,Could closure of meat-packing plants due to COVID-19 outbreaks plunge food supply chains into crisis?,2
2415,2415,"Gov. Noem on COVID stimulus: Give us flexibility, don't bailout poorly governed states",2
2416,2416,Stocks rally as states reopen from coronavirus shutdowns,3
2417,2417,"Who is Kim Yo Jong, Kim Jong Un's potential successor in North Korea?",0
2418,2418,"China expert on Kim Jong Un: The pattern is broken, 'something is really wrong'",3
2419,2419,New Yorkers trust Cuomo over Trump on coronavirus crisis: poll,3
2420,2420,Dr. Saphier on whether going to beaches is safe amid coronavirus outbreak,4
2421,2421,Does Trump support 4th round of COVID-19 PPP funding?,1
2422,2422,Schumer proposing measure to block Trump's name from future coronavirus relief checks,2
2423,2423,CDC adds 6 new coronavirus symptoms to list,3
2424,2424,People from this group are 3 times more likely to die from COVID-19: study,4
2425,2425,Coronavirus kills double-lung transplant patient known for daredevil lifestyle,5
2426,2426,Watch Denny Hamlin's 7-year-old daughter ruin his eNASCAR race in the cutest way,5
2427,2427,Anglers protest fishing ban amid coronavirus outbreak,3
2428,2428,How to talk to hoarders about stockpiling items,2
2429,2429,Kim Jong Un sends 'thanks' to workers at North Korean tourist zone,1
2430,2430,"Severe weather threat returns for Southern Plains, Midwest as record heat bakes Southwest, Southern California",1
2431,2431,Notre Dame Cathedral restoration to restart as protective measures for staff taken,0
2432,2432,Actor questions sanity of President Trump and his supporters,0
2433,2433,Adam Schlesinger's girlfriend shares heartbreaking story of her final days with the Fountains of Wayne artist,4
2434,2434,"John Krasinski hosts potluck with Martha Stewart, Stanley Tucci on 'Some Good News'",2
2435,2435,The 5 best romantic comedies on Netflix right now,4
2436,2436,Michael Jordan turned down chance at playing for MLB team,1
2437,2437,"College basketball star arrested in connection with Georgia murder, officials say",0
2438,2438,Heartburn medication being tested as coronavirus treatment in NYC hospitals,4
2439,2439,Bill Gates says foundation will only focus on COVID-19: Crisis will cost 'tens of trillions of dollars',2
2440,2440,Andy McCarthy: 'Burden of proof' is on government to show why 'liberty' must be taken,0
2441,2441,Newt Gingrich: How to hold China accountable for 'lying to the world' about coronavirus,8
2442,2442,"Catch up on full episodes of the hit sitcom, starring Tim Allen, just in time for the season finale!",2
2443,2443,"FULL COVERAGE: CORONAVIRUSNOW.COM
",3
2444,2444,"Boris Johnson returns to work after fighting coronavirus, says lockdown measures to remain",3
2445,2445,De Blasio appoints wife to head coronavirus racial inequality task force: report,2
2446,2446,Operation Stolen Promise: What to know about the ICE-Homeland Security initiative to stop coronavirus fraud,5
2447,2447,Royal Caribbean files patent application for 'Seaface' mask for 'virus isolation purposes',1
2448,2448,"Fed's interest rate cuts impacts savings, credit and loans — here's how you can save money",2
2449,2449,Coronavirus nursing home policy — this Cuomo approach proves tragic,2
2450,2450,Coronavirus fight – Would 'Medicare-for-all' have improved US response to COVID-19?,3
2451,2451,"
Amid coronavirus crisis, look for these messages of hope and inspiration",3
2452,2452,Gov. Noem: States that are well governed and fiscally stable could be hurt by lack of stimulus 'flexibility',0
2453,2453,Coronavirus vaccine from China-based biotech company protects monkeys from COVID-19: study,3
2454,2454,"TSA sees uptick in travel, screens highest number of passengers since April 3",1
2455,2455,McDonald's location in England reopens as coronavirus drive-thru testing site,2
2456,2456,"John Krasinski hosts potluck with Martha Stewart, Stanley Tucci on 'Some Good News'
",2
2457,2457,Gov. Noem: States that are well governed and fiscally stable could be hurt by lack of stimulus 'flexibility',0
2458,2458,Dr. Saphier on whether going to beaches is safe amid coronavirus outbreak,4
2459,2459,Andy McCarthy: 'Burden of proof' is on government to show why 'liberty' must be taken,0
2460,2460,Newt Gingrich: How to hold China accountable for 'lying to the world' about coronavirus,8
2461,2461,"Joe Concha calls out obvious 'bias of omission' as media largely ignores Biden's accuser
",2
2462,2462,New Yorkers trust Cuomo over Trump on coronavirus crisis: poll,3
2463,2463,Sen. Cotton asks how Dems who believed claims against Kavanaugh could 'possibly agree' to be Biden running mate,1
2464,2464,Speculation mounts over Flynn case as new DOJ documents turned over,1
2465,2465,Schumer proposing measure to block Trump's name from future coronavirus relief checks,2
2466,2466,"Jeff Sessions says campaigning amid social distancing restrictions is ‘strange,’ China ‘anger’ resonating",1
2467,2467,"Severe weather threat returns for Southern Plains, Midwest as record heat bakes Southwest, Southern California",1
2468,2468,"Snow for interior Northeast, as storm system brings damp, dreary conditions",1
2469,2469,"Virginia Gov. Northam sued by pastor facing fine, jail for holding 16-person service",1
2470,2470,Couple helps struggling Key West residents during coronavirus downturn,3
2471,2471,Jared Kushner on coronavirus: We're trying to make sure we're never relying on foreign supplies again,4
2472,2472,Lightning kills at least 10 in India amid heavy rain,0
2473,2473,Notre Dame Cathedral restoration paused by coronavirus to restart as protective measures for staff taken,2
2474,2474,"New Zealand claims coronavirus battle ‘won’ as new cases fall to single digits, lockdown eases",5
2475,2475,Chile introduces 'release certificates' for recovered coronavirus patients despite WHO warning,2
2476,2476,Kim Jong Un sends 'thanks' to workers at North Korean tourist zone amid health rumors,1
2477,2477,Steve Hilton: What do we have to do to get our leaders to follow the coronavirus data and science and end the shutdown?,3
2478,2478,Michael Goodwin: Coronavirus nursing home policy — this Cuomo approach proves tragic,3
2479,2479,Robert Garrett: Coronavirus – 6 lessons from a New Jersey hospital system on the front lines,4
2480,2480,Sally Pipes: Coronavirus fight – Would 'Medicare-for-all' have improved US response to COVID-19?,3
2481,2481,"T.J. Rodgers: Do lockdowns save many lives? In most places, data say no",2
2482,2482,Elizabeth Hurley celebrates mother’s 80th birthday during lockdown,2
2483,2483,"Haylie Duff on how she, sister Hilary Duff are keeping their kids busy in quarantine: ‘Everything’s different’",1
2484,2484,"Cameron Diaz gushes about husband Benji Madden: 'I love being married'
",3
2485,2485,"Kate Middleton, Prince William and their children applaud health care workers",0
2486,2486,"Richard Gere, 70, and wife Alejandra Silva, 37, welcome second child together",0
2487,2487,"John Krasinski hosts potluck with Martha Stewart, Stanley Tucci on 'Some Good News'",2
2488,2488,Adam Schlesinger's girlfriend shares heartbreaking story of her final days with the Fountains of Wayne artist,4
2489,2489,"
Man arrested in drive-by shooting at 'Duck Dynasty' star's home as family says they are 'pretty shook up'",1
2490,2490,Elizabeth Hurley celebrates mother’s 80th birthday during lockdown,2
2491,2491,Bryan Cranston questions sanity of 'deeply troubled' Donald Trump and his supporters,0
2492,2492,"Michael Jordan still heated over wars with 'Bad Boys' Pistons, Isiah Thomas",1
2493,2493,Michael Jordan turned down chance at playing for MLB team,1
2494,2494,"Michael Jordan's 'greatest accomplishment' was what he did off the basketball court, Alex Rodriguez says",1
2495,2495,"Bulls let Dennis Rodman take vacation during NBA title-winning season, Michael Jordan dragged him back",1
2496,2496,"Tulane basketball star arrested in connection with Georgia murder, officials say",0
2497,2497,McEnany: Americans are strong and will get back on their feet,1
2498,2498,Gov. Noem says South Dakota needs flexibility from Congress on how funding can be spent,2
2499,2499,Amid coronavirus pandemic uncertainty for hospitality leaders ahead of re-openings,2
2500,2500,"Cardinal Dolan on Trump attending his virtual mass, financial blow of COVID-19 on houses of worship",1
2501,2501,Coronavirus pandemic: NY Restaurant makes thousands of meals for first responders,5
2502,2502,Asking banks for help during coronavirus pandemic: What to know,4
2503,2503,"Fed's interest rate cuts impacts savings, credit and loans — here's how you can save money",2
2504,2504,Father-son duo's financial literacy video goes viral,1
2505,2505,"Disney touts 'giving spirit' as 100,000 workers go unpaid",1
2506,2506,How coronavirus could damage Social Security,3
2507,2507,Bill Gates says foundation will only focus on COVID-19: Crisis will cost 'tens of trillions of dollars',2
2508,2508,California city official resigns after allegedly throwing cat during Zoom meeting,0
2509,2509,Online call by African-American USC students reportedly 'Zoom-bombed' by users in blackface,0
2510,2510,"Home-based jobs, sanitize your phone, COVID conspiracies and more: Tech Q&A",3
2511,2511,"Susan Sarandon, a Sanders backer, tweets in support of Biden's sexual assault accuser",0
2512,2512,Louisiana pastor breaks house arrest to hold Sunday service amid coronavirus stay-at-home orders,4
2513,2513,"Christen Limbaugh Bloom: God using coronavirus crisis to touch hearts of individuals, create revival in church",3
2514,2514,Federal judge says Mississippi church can hold drive-in services,1
2515,2515,Celebrity chef Paula Deen shares a prayer for nation amid coronavirus pandemic,2
2516,2516,NFL quarterback sends message of hope during coronavirus pandemic,2
