,id,headlines,ChanceOfVirality
846,846,"Disabled Muslim man hounded for accidentally dropping currency, accused of spreading coronavirus",3
847,847,FACT CHECK: Did this female Indian doctor die because of coronavirus?,2
848,848,Ministry Of Personnel Refutes Rumours About Reducing Age Of Retirement,1
849,849,TISS Professors Falsely Targeted For 'Supporting Palghar Accused',0
850,850,Need to give importance to economy and also battle Covid-19: PM Modi to CMs,2
851,851,"Mint Covid Tracker: Despite slowing trajectory, India’s case count could reach 50,000 in eight days",2
852,852,‘Won’t lose a single rupee’: Govt clarifies after cancelling Chinese Covid-19 test kits,1
853,853,Will North Korea Get its 'First Female Dictator'? Twitter is Obsessing Over Kim Jong Un's Sister,1
854,854,"Coronavirus Pandemic LIVE Updates: 1,436 Cases, 60 Deaths Reported in Last 24 Hours, Says Govt",4
855,855,An Expert Explains: What is the future of migration from Kerala?,1
856,856,"6,184 or 22.17% COVID-19 patients have recovered: Health ministry",1
857,857,Anantnag braces for Covid-19 spurt as pregnant woman tests positive after death,2
858,858,Congress targets Centre over antibody test kits being purchased at higher prices,1
859,859,Over 80% wheat crop harvested: MHA,0
860,860,China’s Wuhan city discharges last COVID-19 patient from hospital,2
861,861,Australia rejects Chinese 'economic coercion' threat amid planned coronavirus probe,2
862,862,Saudi Arabia ends death penalty for minors and floggings,0
863,863,Coronavirus Outbreak LIVE Updates: Five more COVID-19 deaths take Pune's toll to 77; Modi likely to discuss graded lockdown exit with CMs,7
864,864,Coronavirus: What mutual fund investors should know amid rising credit risks,4
865,865,"Taking Stock: Cooling off after highs! Nifty holds 9,250 as RBI announces lifeline for MFs",2
866,866,Reliance begins using WhatsApp for grocery deliveries through JioMart,0
867,867,"IndusInd Bank reports Q4FY20 net profit at Rs 360.10, NII at Rs 3,231.2 crore",0
868,868,Unreleased Realme smartphone leaks in live images - GSMArena.com news,2
869,869,Apple to delay mass production of 2020 flagship iPhones: WSJ,1
870,870,The Apple Watch saved my life...,2
871,871,"Call Of Duty Mobile Update: New 'Rust' Map, 'Kill Confirmed' Mode & More",2
872,872,Dulquer Salmaan apologises for ‘Prabhakara’ joke in ‘Varane Avashyamund’,0
873,873,"After Hina Khan, Rashami Desai grooves to Jacqueline Fernandez’s Genda Phool, gets praise from Shefali...",0
874,874,Kanika Kapoor spends time with family in Lucknow after recovering from Covid-19. See pic,5
875,875,"Alia Bhatt Keeps in Touch with Her Friends Amid Lockdown, See Pic",2
876,876,‘If you fumble a ball...’: KL Rahul opens up about comparisons with MS Dhoni,1
877,877,Umar Akmal banned for 3 years from all forms by PCB Disciplinary Panel on corruption charges,2
878,878,Have seen many decent players who become something else on social media: Yuvraj Singh,7
879,879,"Lockdown has made me more dedicated and taught me that we can survive without eating outside, Hima Das te",4
880,880,Scientists Have Officially Declared This the Most Dangerous Place on Earth,2
881,881,Venus will shine at its brightest in the night sky this week,2
882,882,Scientists Develop First Comprehensive Map of the Moon's Surface,2
883,883,Hubble celebrates its 30th anniversary with a tapestry of blazing starbirth,0
884,884,How and when to eat cucumber to lose weight,0
885,885,Coronavirus: How India will play a major role in a Covid-19 vaccine,4
886,886,"Deadlier L Type Coronavirus Strain Could be Behind High Death Rate in Gujarat and Indore, Say Experts",2
887,887,These 5 morning habits may be causing you to gain weight,0
888,888,"Coronavirus pandemic | Lockdown will continue post-May 3 in COVID-19 hotspots, PM Modi tells chief ministers",4
889,889,Government mulls proposal to guarantee up to Rs 3 lakh crore bank loans to small businesses: Report,0
890,890,Covid-19 lockdown: India should open up now,3
891,891,"India Always Knew Spitting in Public is Wrong, Now is the Best Time to Ensure We Don't: PM Modi",8
892,892,"Coronavirus live updates: 28,380 total cases in India, 6,362 cured & death toll at 886, according to health ministry",3
893,893,"Coronavirus India News LIVE Updates: Total number of COVID-19 cases in India rise to 28,380, including 886 deaths",6
894,894,"1,975 new Covid-19 cases, 47 deaths in India in last 24 hours: 10 things to know",8
895,895,Highest single-day increase in Covid-19 cases,3
896,896,"Indian Council of Medical Research (ICMR): 'Don't use China kits, Return them back'",0
897,897,India Overpaid For Chinese COVID-19 Test Kits? What Court Case Reveals,1
898,898,Govt tells states to not use rapid kits for now,1
899,899,Delhi High Court caps imported antibody kit price at Rs. 400,0
900,900,Kim Jong Un ‘alive and well’: Seoul,0
901,901,Where is Kim Jong-un?,1
902,902,North Korea's Kim Jong Un 'alive and well': Seoul,0
903,903,Kim Jong-un successor: Will North Korea see a woman ruler? Here’s the top contender,3
904,904,Kolkata lockdown news: Today's updates from your city,3
905,905,"In times of job cuts, strategic groups are busy recruiting for 2021 Bengal election",1
906,906,"West Bengal CM Mamata Banerjee Says, She Is In Favour Of Extending Lockdown Till May 21",1
907,907,BJP Leaders Stage Sit-In Protests Against Bengal's COVID-19 Handling,1
908,908,Guard At Harsh Vardhan's Staff Office At AIIMS COVID-19 +ve: Report,1
909,909,"Our fight is against the disease, not the diseased': MoHFW urges public to not stigmatise COVID-19 patients",1
910,910,Covid-19 hotspot districts moving towards being non-hotspot districts: Health minister,2
911,911,"Trace, test, isolate, treat will remain our strategy: Union health min Harsh Vardhan",0
912,912,"Dead J&K Woman's Samples Return COVID-19 +ve, Probe Into Body Handling",2
913,913,"Pregnant Woman Dies in Anantnag Hospital, Inquiry Ordered",2
914,914,"Pregnant J&K Woman From COVID-19 Red Zone Dies In Hospital, Probe Ordered",3
915,915,"ICMR agreed to pay 2.5 times the price for rapid test kits, Delhi HC judgment shows",1
916,916,Coronavirus | Delhi HC asks to cap the price of COVID-19 test kits,3
917,917,Delhi HC puts Rs 400 cap on rapid testing kits from China,0
918,918,Delhi HC says Covid-19 testing kits should be sold at lowest cost possible,2
919,919,Covid-19 cases in Wuhan hospitals drop to zero for 1st time,4
920,920,First pandemic epicentre Wuhan discharges its last Covid patient from hospital,3
921,921,Did SARS-CoV-2 begin from a lab?,0
922,922,Does China have a case to answer on Covid-19?,1
923,923,China threatens to boycott Australian beef and wine; Here’s why,2
924,924,"In a testy post-Covid-19 world, Chinese sanctions of Australian goods may be closer than ever",4
925,925,"Australia, Backing Virus Probe, Slams China's ""Economic Coercion"" Threat",1
926,926,Australia rejects Chinese ‘economic coercion’ threat amid planned coronavirus probe,2
927,927,"Hajj Cancellation Won't be the First – Plague, War and Politics Disrupted Pilgrimages Long Before Coron...",1
928,928,Saudi Arabia Ends Death Penalty For Minors,0
929,929,Saudi Arabia partially lifts curfew except in Mecca,0
930,930,Saudi Arabia abolishes death sentence for minors,0
931,931,Prime Minister Modi feels 'very proud' when world leaders thank India for help in coronavrus crisis,2
932,932,"PM Narendra Modi to interact with CMs on April 26 to discuss way out of lockdown, COVID fight",4
933,933,"India coronavirus, COVID-19 live updates, April 26: 293 new coronavirus cases take Delhi`s total count to 2...",5
934,934,"India coronavirus, COVID-19 live updates, April 26: 293 new coronavirus cases take Delhi`s total count to 2...",5
935,935,"RBI announces ₹50,000 crore lifeline for mutual funds: 10 points",1
936,936,COVID 19 Crisis: Franklin Templeton Shut Down 6 Debts Mutual Fund Schemes Blaming Liquidity Crunch,2
937,937,Templeton Fund Freeze Leaves a Dangerous Hole,0
938,938,Here's why Franklin Templeton case should not be viewed as a credit crisis,1
939,939,Here Are Some Of The Buzzing Stocks For Today's Trade | Chartbusters,3
940,940,"Nifty, Sensex end higher as RBI eases MF liquidity concerns",0
941,941,"Closing Bell: Nifty ends just shy of 9,300, Sensex gains 415 pts; IndusInd Bank up 6% ahead of result",0
942,942,"Sensex ends over 400 points higher, Nifty below 9,300; private banks shine",0
943,943,How to place an order on JioMart using WhatsApp: A step-by-step guide,1
944,944,"After Facebook-Reliance deal, JioMart goes live on WhatsApp",1
945,945,JioMart goes live on WhatsApp in some areas in Mumbai,0
946,946,JioMart WhatsApp Order Booking Service Launched: How to Order,1
947,947,IndusInd Bank Q4: Profit falls 77% to Rs 302 cr QoQ as provisions spike 134%,0
948,948,"IndusInd Bank Q4 results: Profit falls 16% YoY to Rs 302 crore, misses estimates; provisions spike 56%",0
949,949,"IndusInd Banks Q4 profit slumps 77% QoQ to Rs 302 cr, provisions jump 2x",0
950,950,IndusInd Bank Q4 preview: Profit may fall sharply on muted operating performance,1
951,951,Realme X50m 5G with Snapdragon 765G chipset and two selfie cameras launched,0
952,952,"Realme TV receives Google certification, expected to launch soon",0
953,953,Realme X2 Pro Starts Receiving Android April 2020 Security Patch and Other Bug Fixes,0
954,954,Mysterious Realme smartphone with new design leaked,2
955,955,iPhone SE 2nd Gen has a lot of parts that can be swapped with the iPhone 8: iFixit teardown,2
956,956,Apple iPhone SE teardown video shows that a lot of its parts can be swapped with old iPhone 8 parts,4
957,957,2020 Flagship iPhone Models' Mass Production to Be Delayed by a Month: Report,2
958,958,Apple to delay mass production of 2020 flagship iPhones: Report,1
959,959,The Apple Watch 5th anniversary: what we got right and wrong in our review,2
960,960,"Five years later, the Apple Watch is an unyielding icon of design",3
961,961,Remember when Apple Watch was a luxury item? We look back at its 5-year evolution,3
962,962,"Former Apple designer reveals original sketches, other tidbits about genesis of Apple Watch",2
963,963,Call Of Duty: Mobile' Is Getting A Fan-Favourite Map Next Week,0
964,964,Dulquer Salmaan offers apology to Tamil people,1
965,965,Dulquer Salmaan apologises for insulting Tamil audience! - Malayalam News,1
966,966,"Many Tamil viewers misinterpret dog scene in 'Varane Avashyamund', Dulquer clarifies",2
967,967,Dulquer Salmaan Explains Prabhakaran Joke In Varane Avashyamund After Outrage,1
968,968,Rashami Desai grooves to Jacqueline Fernandez's Genda Phool and her moves will leave you amused; Take a look,1
969,969,"Rashami Desai Sets Temperature Soaring as She Grooves to Badshah's 'Genda Phool', Watch Video",2
970,970,#Exclusive: Arhaan Khan: My parents were against my relationship with Rashami Desai,0
971,971,Rashami Desai reminisces her journey from debut show Pari Hoon Main to Naagin 4 with a 'Then and Now' photo,1
972,972,"Kanika Kapoor currently at her Lucknow house, releases statement clarifying allegations - Republic World",3
973,973,"Day after no wrongdoing Instagram post, Kanika Kapoor asked to join police probe",1
974,974,"Uttar Pradesh police serves notice to Kanika Kapoor, asked to report on April 30",0
975,975,Kanika Kapoor says she didn’t quarantine herself after UK travel as ‘there was no such advisory’,1
976,976,When Ranbir Kapoor and 'Raees' actress Mahira Khan's 'smoking on the street of NYC' picture went viral on,1
977,977,"Sara Ali Khan, Alia Bhatt, Alaya F: Throwback to some of the best short dress styles",3
978,978,Arjun Kapoor on Actors Being Called Dumb: One Question to Alia on Koffee Destroyed Our Combined IQ,2
979,979,This unseen photo of Deepika Padukone and Ranbir Kapoor from 'Tamasha' poster shoot will drive away your,4
980,980,"Anil Kumble was best captain I played under, Rahul Dravid was technical master: RP Singh",1
981,981,"If you fumble the ball, people feel you can't replace MS Dhoni: KL Rahul",1
982,982,"His graph went up & mine went down, but friendship is intact: Former India pacer on MS Dhoni",1
983,983,"""Every Cricketer In The World Wants To Play Under MS Dhoni"", Says Mohit Sharma",4
984,984,Umar Akmal handed three-year ban for breach of anti-corruption code - Cricbuzz,1
985,985,Pakistan's Umar Akmal banned for three years: PCB,2
986,986,Pakistan’s Umar Akmal banned for three years: PCB,2
987,987,PCB Bans Umar Akmal For 3 Years For Failing To Report Spot-Fixing Approach,2
988,988,‘People told I would just play Ranji Trophy’: Jasprit Bumrah reveals how he ‘persisted with his act...,2
989,989,"Yuvraj takes a dig at youngsters, says they become something else on social media",4
990,990,Kohli or Tendulkar? Yuvraj or Dhoni? Yuvraj Singh corners Jasprit Bumrah with rapid-fire questions,0
991,991,"""Like Picking Between Mom-Dad"": Jasprit Bumrah's Cheeky Reply To Yuvraj Singh's Googly",0
992,992,"Wrote down Adidas on shoes during my first Nationals, they now print my name on them: Hima Das",4
993,993,"Once I scribbled Adidas on my shoes, they now make shoes with my name: Hima",2
994,994,"Hima Das Says She ""Ended Up Crying"" After Meeting Role Model Sachin Tendulkar",0
995,995,"Athletics | Once I scribbled Adidas on my spikes, now I wear custom-made shoes: Hima Das",2
996,996,"Crescent moon ""show"" this evening; nice start to week",0
997,997,LOOK UP! Venus shines brightest all week in the evening sky,3
998,998,Venus and crescent Moon close together and Earthshine,0
999,999,Starlink satellite sightings for Saturday,1
1000,1000,As Beautiful as The Moon? This is The First Time we Get to See The Lunar Surface in Such Detail,7
1001,1001,USGS releases first complete geologic map of the Moon,2
1002,1002,Incredible New Map of Moon Shows Its Every Nook and Cranny,1
1003,1003,Hubble's Collection of Anniversary Images,0
1004,1004,Hubble telescope celebrates 30 years with portrait of a firestorm in a neighbouring galaxy - Republic World,4
1005,1005,Hubble Space Telescope yields 1.4 mn observations in 3 decades,0
1006,1006,"Rising CO2 emissions could change the way human brains work, study says",2
1007,1007,"Covid-19: Pune company plans to ready 20-40m vaccine shots at Rs 1,000/dose by Sept-Oct",1
1008,1008,"Serum Institute to Start Making Oxford's Covid-19 Vaccine in 3 Weeks, Launch by Oct if Trials Succeed",1
1009,1009,"Coronavirus pandemic | Pune manufacturer plans to price COVID-19 vaccine at Rs 1,000 in India",4
1010,1010,Covid-19: Kolkata woman in Oxford University vaccine project team,2
1011,1011,Wuhan's L-strain may be behind Gujarat's high death rate: Experts,1
1012,1012,High fatality rate in Gujarat could be due to dominance of Wuhan’s L-type Covid-19 strain,2
1013,1013,Wuhans L-Type Coronavirus Could Be Behind High Mortality Rate In Gujarat: Experts,3
1014,1014,Wuhan's L-strand behind high mortality in Gujarat?,1
1015,1015,Fact Check: First volunteer of UK corona vaccine trial is alive and kicking,2
1016,1016,"Disabled Muslim man hounded for accidentally dropping currency, accused of spreading coronavirus",3
1017,1017,FACT CHECK: Did this female Indian doctor die because of coronavirus?,2
1018,1018,Ministry Of Personnel Refutes Rumours About Reducing Age Of Retirement,1
1019,1019,TISS Professors Falsely Targeted For 'Supporting Palghar Accused',0
1020,1020,Need to give importance to economy and also battle Covid-19: PM Modi to CMs,2
1021,1021,"Mint Covid Tracker: Despite slowing trajectory, India’s case count could reach 50,000 in eight days",2
1022,1022,‘Won’t lose a single rupee’: Govt clarifies after cancelling Chinese Covid-19 test kits,1
1023,1023,Will North Korea Get its 'First Female Dictator'? Twitter is Obsessing Over Kim Jong Un's Sister,1
1024,1024,"Coronavirus Pandemic LIVE Updates: 1,436 Cases, 60 Deaths Reported in Last 24 Hours, Says Govt",4
1025,1025,An Expert Explains: What is the future of migration from Kerala?,1
1026,1026,"6,184 or 22.17% COVID-19 patients have recovered: Health ministry",1
1027,1027,Anantnag braces for Covid-19 spurt as pregnant woman tests positive after death,2
1028,1028,Congress targets Centre over antibody test kits being purchased at higher prices,1
1029,1029,Over 80% wheat crop harvested: MHA,0
1030,1030,China’s Wuhan city discharges last COVID-19 patient from hospital,2
1031,1031,Australia rejects Chinese 'economic coercion' threat amid planned coronavirus probe,2
1032,1032,Saudi Arabia ends death penalty for minors and floggings,0
1033,1033,Coronavirus Outbreak LIVE Updates: Five more COVID-19 deaths take Pune's toll to 77; Modi likely to discuss graded lockdown exit with CMs,7
1034,1034,Coronavirus: What mutual fund investors should know amid rising credit risks,4
1035,1035,"Taking Stock: Cooling off after highs! Nifty holds 9,250 as RBI announces lifeline for MFs",2
1036,1036,Reliance begins using WhatsApp for grocery deliveries through JioMart,0
1037,1037,"IndusInd Bank reports Q4FY20 net profit at Rs 360.10, NII at Rs 3,231.2 crore",0
1038,1038,Unreleased Realme smartphone leaks in live images - GSMArena.com news,2
1039,1039,Apple to delay mass production of 2020 flagship iPhones: WSJ,1
1040,1040,The Apple Watch saved my life...,2
1041,1041,"Call Of Duty Mobile Update: New 'Rust' Map, 'Kill Confirmed' Mode & More",2
1042,1042,Dulquer Salmaan apologises for ‘Prabhakara’ joke in ‘Varane Avashyamund’,0
1043,1043,"After Hina Khan, Rashami Desai grooves to Jacqueline Fernandez’s Genda Phool, gets praise from Shefali...",0
1044,1044,Kanika Kapoor spends time with family in Lucknow after recovering from Covid-19. See pic,5
1045,1045,"Alia Bhatt Keeps in Touch with Her Friends Amid Lockdown, See Pic",2
1046,1046,‘If you fumble a ball...’: KL Rahul opens up about comparisons with MS Dhoni,1
1047,1047,Umar Akmal banned for 3 years from all forms by PCB Disciplinary Panel on corruption charges,2
1048,1048,Have seen many decent players who become something else on social media: Yuvraj Singh,7
1049,1049,"Lockdown has made me more dedicated and taught me that we can survive without eating outside, Hima Das te",4
1050,1050,Scientists Have Officially Declared This the Most Dangerous Place on Earth,2
1051,1051,Venus will shine at its brightest in the night sky this week,2
1052,1052,Scientists Develop First Comprehensive Map of the Moon's Surface,2
1053,1053,Hubble celebrates its 30th anniversary with a tapestry of blazing starbirth,0
1054,1054,How and when to eat cucumber to lose weight,0
1055,1055,Coronavirus: How India will play a major role in a Covid-19 vaccine,4
1056,1056,"Deadlier L Type Coronavirus Strain Could be Behind High Death Rate in Gujarat and Indore, Say Experts",2
1057,1057,These 5 morning habits may be causing you to gain weight,0
1058,1058,"Coronavirus pandemic | Lockdown will continue post-May 3 in COVID-19 hotspots, PM Modi tells chief ministers",4
1059,1059,Government mulls proposal to guarantee up to Rs 3 lakh crore bank loans to small businesses: Report,0
1060,1060,Covid-19 lockdown: India should open up now,3
1061,1061,"India Always Knew Spitting in Public is Wrong, Now is the Best Time to Ensure We Don't: PM Modi",8
1062,1062,"Coronavirus live updates: 28,380 total cases in India, 6,362 cured & death toll at 886, according to health ministry",3
1063,1063,"Coronavirus India News LIVE Updates: Total number of COVID-19 cases in India rise to 28,380, including 886 deaths",6
1064,1064,"1,975 new Covid-19 cases, 47 deaths in India in last 24 hours: 10 things to know",8
1065,1065,Highest single-day increase in Covid-19 cases,3
1066,1066,"Indian Council of Medical Research (ICMR): 'Don't use China kits, Return them back'",0
1067,1067,India Overpaid For Chinese COVID-19 Test Kits? What Court Case Reveals,1
1068,1068,Govt tells states to not use rapid kits for now,1
1069,1069,Delhi High Court caps imported antibody kit price at Rs. 400,0
1070,1070,Kim Jong Un ‘alive and well’: Seoul,0
1071,1071,Where is Kim Jong-un?,1
1072,1072,North Korea's Kim Jong Un 'alive and well': Seoul,0
1073,1073,Kim Jong-un successor: Will North Korea see a woman ruler? Here’s the top contender,3
1074,1074,Kolkata lockdown news: Today's updates from your city,3
1075,1075,"In times of job cuts, strategic groups are busy recruiting for 2021 Bengal election",1
1076,1076,"West Bengal CM Mamata Banerjee Says, She Is In Favour Of Extending Lockdown Till May 21",1
1077,1077,BJP Leaders Stage Sit-In Protests Against Bengal's COVID-19 Handling,1
1078,1078,Guard At Harsh Vardhan's Staff Office At AIIMS COVID-19 +ve: Report,1
1079,1079,"Our fight is against the disease, not the diseased': MoHFW urges public to not stigmatise COVID-19 patients",1
1080,1080,Covid-19 hotspot districts moving towards being non-hotspot districts: Health minister,2
1081,1081,"Trace, test, isolate, treat will remain our strategy: Union health min Harsh Vardhan",0
1082,1082,"Dead J&K Woman's Samples Return COVID-19 +ve, Probe Into Body Handling",2
1083,1083,"Pregnant Woman Dies in Anantnag Hospital, Inquiry Ordered",2
1084,1084,"Pregnant J&K Woman From COVID-19 Red Zone Dies In Hospital, Probe Ordered",3
1085,1085,"ICMR agreed to pay 2.5 times the price for rapid test kits, Delhi HC judgment shows",1
1086,1086,Coronavirus | Delhi HC asks to cap the price of COVID-19 test kits,3
1087,1087,Delhi HC puts Rs 400 cap on rapid testing kits from China,0
1088,1088,Delhi HC says Covid-19 testing kits should be sold at lowest cost possible,2
1089,1089,Covid-19 cases in Wuhan hospitals drop to zero for 1st time,4
1090,1090,First pandemic epicentre Wuhan discharges its last Covid patient from hospital,3
1091,1091,Did SARS-CoV-2 begin from a lab?,0
1092,1092,Does China have a case to answer on Covid-19?,1
1093,1093,China threatens to boycott Australian beef and wine; Here’s why,2
1094,1094,"In a testy post-Covid-19 world, Chinese sanctions of Australian goods may be closer than ever",4
1095,1095,"Australia, Backing Virus Probe, Slams China's ""Economic Coercion"" Threat",1
1096,1096,Australia rejects Chinese ‘economic coercion’ threat amid planned coronavirus probe,2
1097,1097,"Hajj Cancellation Won't be the First – Plague, War and Politics Disrupted Pilgrimages Long Before Coron...",1
1098,1098,Saudi Arabia Ends Death Penalty For Minors,0
1099,1099,Saudi Arabia partially lifts curfew except in Mecca,0
1100,1100,Saudi Arabia abolishes death sentence for minors,0
1101,1101,Prime Minister Modi feels 'very proud' when world leaders thank India for help in coronavrus crisis,2
1102,1102,"PM Narendra Modi to interact with CMs on April 26 to discuss way out of lockdown, COVID fight",4
1103,1103,"India coronavirus, COVID-19 live updates, April 26: 293 new coronavirus cases take Delhi`s total count to 2...",5
1104,1104,"India coronavirus, COVID-19 live updates, April 26: 293 new coronavirus cases take Delhi`s total count to 2...",5
1105,1105,"RBI announces ₹50,000 crore lifeline for mutual funds: 10 points",1
1106,1106,COVID 19 Crisis: Franklin Templeton Shut Down 6 Debts Mutual Fund Schemes Blaming Liquidity Crunch,2
1107,1107,Templeton Fund Freeze Leaves a Dangerous Hole,0
1108,1108,Here's why Franklin Templeton case should not be viewed as a credit crisis,1
1109,1109,Here Are Some Of The Buzzing Stocks For Today's Trade | Chartbusters,3
1110,1110,"Nifty, Sensex end higher as RBI eases MF liquidity concerns",0
1111,1111,"Closing Bell: Nifty ends just shy of 9,300, Sensex gains 415 pts; IndusInd Bank up 6% ahead of result",0
1112,1112,"Sensex ends over 400 points higher, Nifty below 9,300; private banks shine",0
1113,1113,How to place an order on JioMart using WhatsApp: A step-by-step guide,1
1114,1114,"After Facebook-Reliance deal, JioMart goes live on WhatsApp",1
1115,1115,JioMart goes live on WhatsApp in some areas in Mumbai,0
1116,1116,JioMart WhatsApp Order Booking Service Launched: How to Order,1
1117,1117,IndusInd Bank Q4: Profit falls 77% to Rs 302 cr QoQ as provisions spike 134%,0
1118,1118,"IndusInd Bank Q4 results: Profit falls 16% YoY to Rs 302 crore, misses estimates; provisions spike 56%",0
1119,1119,"IndusInd Banks Q4 profit slumps 77% QoQ to Rs 302 cr, provisions jump 2x",0
1120,1120,IndusInd Bank Q4 preview: Profit may fall sharply on muted operating performance,1
1121,1121,Realme X50m 5G with Snapdragon 765G chipset and two selfie cameras launched,0
1122,1122,"Realme TV receives Google certification, expected to launch soon",0
1123,1123,Realme X2 Pro Starts Receiving Android April 2020 Security Patch and Other Bug Fixes,0
1124,1124,Mysterious Realme smartphone with new design leaked,2
1125,1125,iPhone SE 2nd Gen has a lot of parts that can be swapped with the iPhone 8: iFixit teardown,2
1126,1126,Apple iPhone SE teardown video shows that a lot of its parts can be swapped with old iPhone 8 parts,4
1127,1127,2020 Flagship iPhone Models' Mass Production to Be Delayed by a Month: Report,2
1128,1128,Apple to delay mass production of 2020 flagship iPhones: Report,1
1129,1129,The Apple Watch 5th anniversary: what we got right and wrong in our review,2
1130,1130,"Five years later, the Apple Watch is an unyielding icon of design",3
1131,1131,Remember when Apple Watch was a luxury item? We look back at its 5-year evolution,3
1132,1132,"Former Apple designer reveals original sketches, other tidbits about genesis of Apple Watch",2
1133,1133,Call Of Duty: Mobile' Is Getting A Fan-Favourite Map Next Week,0
1134,1134,Dulquer Salmaan offers apology to Tamil people,1
1135,1135,Dulquer Salmaan apologises for insulting Tamil audience! - Malayalam News,1
1136,1136,"Many Tamil viewers misinterpret dog scene in 'Varane Avashyamund', Dulquer clarifies",2
1137,1137,Dulquer Salmaan Explains Prabhakaran Joke In Varane Avashyamund After Outrage,1
1138,1138,Rashami Desai grooves to Jacqueline Fernandez's Genda Phool and her moves will leave you amused; Take a look,1
1139,1139,"Rashami Desai Sets Temperature Soaring as She Grooves to Badshah's 'Genda Phool', Watch Video",2
1140,1140,#Exclusive: Arhaan Khan: My parents were against my relationship with Rashami Desai,0
1141,1141,Rashami Desai reminisces her journey from debut show Pari Hoon Main to Naagin 4 with a 'Then and Now' photo,1
1142,1142,"Kanika Kapoor currently at her Lucknow house, releases statement clarifying allegations - Republic World",3
1143,1143,"Day after no wrongdoing Instagram post, Kanika Kapoor asked to join police probe",1
1144,1144,"Uttar Pradesh police serves notice to Kanika Kapoor, asked to report on April 30",0
1145,1145,Kanika Kapoor says she didn’t quarantine herself after UK travel as ‘there was no such advisory’,1
1146,1146,When Ranbir Kapoor and 'Raees' actress Mahira Khan's 'smoking on the street of NYC' picture went viral on,1
1147,1147,"Sara Ali Khan, Alia Bhatt, Alaya F: Throwback to some of the best short dress styles",3
1148,1148,Arjun Kapoor on Actors Being Called Dumb: One Question to Alia on Koffee Destroyed Our Combined IQ,2
1149,1149,This unseen photo of Deepika Padukone and Ranbir Kapoor from 'Tamasha' poster shoot will drive away your,4
1150,1150,"Anil Kumble was best captain I played under, Rahul Dravid was technical master: RP Singh",1
1151,1151,"If you fumble the ball, people feel you can't replace MS Dhoni: KL Rahul",1
1152,1152,"His graph went up & mine went down, but friendship is intact: Former India pacer on MS Dhoni",1
1153,1153,"""Every Cricketer In The World Wants To Play Under MS Dhoni"", Says Mohit Sharma",4
1154,1154,Umar Akmal handed three-year ban for breach of anti-corruption code - Cricbuzz,1
1155,1155,Pakistan's Umar Akmal banned for three years: PCB,2
1156,1156,Pakistan’s Umar Akmal banned for three years: PCB,2
1157,1157,PCB Bans Umar Akmal For 3 Years For Failing To Report Spot-Fixing Approach,2
1158,1158,‘People told I would just play Ranji Trophy’: Jasprit Bumrah reveals how he ‘persisted with his act...,2
1159,1159,"Yuvraj takes a dig at youngsters, says they become something else on social media",4
1160,1160,Kohli or Tendulkar? Yuvraj or Dhoni? Yuvraj Singh corners Jasprit Bumrah with rapid-fire questions,0
1161,1161,"""Like Picking Between Mom-Dad"": Jasprit Bumrah's Cheeky Reply To Yuvraj Singh's Googly",0
1162,1162,"Wrote down Adidas on shoes during my first Nationals, they now print my name on them: Hima Das",4
1163,1163,"Once I scribbled Adidas on my shoes, they now make shoes with my name: Hima",2
1164,1164,"Hima Das Says She ""Ended Up Crying"" After Meeting Role Model Sachin Tendulkar",0
1165,1165,"Athletics | Once I scribbled Adidas on my spikes, now I wear custom-made shoes: Hima Das",2
1166,1166,"Crescent moon ""show"" this evening; nice start to week",0
1167,1167,LOOK UP! Venus shines brightest all week in the evening sky,3
1168,1168,Venus and crescent Moon close together and Earthshine,0
1169,1169,Starlink satellite sightings for Saturday,1
1170,1170,As Beautiful as The Moon? This is The First Time we Get to See The Lunar Surface in Such Detail,7
1171,1171,USGS releases first complete geologic map of the Moon,2
1172,1172,Incredible New Map of Moon Shows Its Every Nook and Cranny,1
1173,1173,Hubble's Collection of Anniversary Images,0
1174,1174,Hubble telescope celebrates 30 years with portrait of a firestorm in a neighbouring galaxy - Republic World,4
1175,1175,Hubble Space Telescope yields 1.4 mn observations in 3 decades,0
1176,1176,"Rising CO2 emissions could change the way human brains work, study says",2
1177,1177,"Covid-19: Pune company plans to ready 20-40m vaccine shots at Rs 1,000/dose by Sept-Oct",1
1178,1178,"Serum Institute to Start Making Oxford's Covid-19 Vaccine in 3 Weeks, Launch by Oct if Trials Succeed",1
1179,1179,"Coronavirus pandemic | Pune manufacturer plans to price COVID-19 vaccine at Rs 1,000 in India",4
1180,1180,Covid-19: Kolkata woman in Oxford University vaccine project team,2
1181,1181,Wuhan's L-strain may be behind Gujarat's high death rate: Experts,1
1182,1182,High fatality rate in Gujarat could be due to dominance of Wuhan’s L-type Covid-19 strain,2
1183,1183,Wuhans L-Type Coronavirus Could Be Behind High Mortality Rate In Gujarat: Experts,3
1184,1184,Wuhan's L-strand behind high mortality in Gujarat?,1
1185,1185,Fact Check: First volunteer of UK corona vaccine trial is alive and kicking,2
1186,1186,"Disabled Muslim man hounded for accidentally dropping currency, accused of spreading coronavirus",3
1187,1187,FACT CHECK: Did this female Indian doctor die because of coronavirus?,2
1188,1188,Ministry Of Personnel Refutes Rumours About Reducing Age Of Retirement,1
1189,1189,TISS Professors Falsely Targeted For 'Supporting Palghar Accused',0
